Issue Type,Summary,Description,Epic Name,Epic,Labels,Priority,Story Points,Status
Epic,Foundation & Architecture,"Establish core MERN architecture, backend bootstrap, DB connectivity, and base frontend shell for scalable development.",Foundation & Architecture,,architecture setup,High,8,Done
Epic,Authentication & Authorization,"Implement secure auth, token lifecycle, protected routes, and role-based access for admin operations.",Authentication & Authorization,,auth security backend frontend,Highest,8,Done
Epic,Listings & Discovery,"Deliver listing model, APIs, filtering/search, and user-facing discovery pages.",Listings & Discovery,,listings search frontend backend,High,8,Done
Epic,Booking & Wishlist,"Implement booking lifecycle and wishlist management across backend and frontend.",Booking & Wishlist,,booking wishlist backend frontend,High,8,Done
Epic,Admin Module,"Provide admin-only operational capabilities for listing management and platform oversight.",Admin Module,,admin backend frontend,High,8,Done
Epic,Dockerization & Deployment Readiness,"Containerize frontend and backend using production-focused Docker workflow and compose orchestration.",Dockerization & Deployment Readiness,,docker devops deployment,Highest,8,Done
Epic,Documentation & Academic Demo Readiness,"Prepare technical documentation and demo narrative suitable for faculty evaluation.",Documentation & Academic Demo Readiness,,docs presentation planning,High,5,In Progress
Story,Initialize repository module boundaries,"Finalize repository with clear frontend/backend boundaries and shared root orchestration.",,Foundation & Architecture,architecture setup,High,3,Done
Story,Bootstrap Express application entrypoint,"Implement backend app entrypoint with middleware chain and route mounting.",,Foundation & Architecture,backend express,High,3,Done
Story,Configure MongoDB connection layer,"Add reusable DB connection utility with env-based URI and startup integration.",,Foundation & Architecture,backend mongodb,High,3,Done
Story,Register modular API route groups,"Mount auth/listings/bookings/users routers under versioned API prefixes.",,Foundation & Architecture,backend api,High,3,Done
Story,Set global error handling path,"Integrate centralized error responses for unexpected runtime exceptions.",,Foundation & Architecture,backend reliability,Medium,2,Done
Story,Create frontend application shell,"Establish core app layout and route container for scalable page growth.",,Foundation & Architecture,frontend routing,High,3,Done
Story,Set reusable UI component baseline,"Create common components and shared UX primitives across pages.",,Foundation & Architecture,frontend ui,Medium,2,Done
Story,Implement user registration API,"Create endpoint to register users with validation and duplicate checks.",,Authentication & Authorization,auth backend,Highest,5,Done
Story,Implement user login API,"Create credential-based login endpoint returning authenticated user context and token.",,Authentication & Authorization,auth backend,Highest,5,Done
Story,Generate JWT token strategy,"Add signed token generation with controlled expiry for session continuity.",,Authentication & Authorization,auth jwt security,Highest,3,Done
Story,Implement protect middleware,"Enforce token validation on protected API routes.",,Authentication & Authorization,auth middleware security,Highest,5,Done
Story,Implement admin role middleware,"Restrict privileged operations to administrative users only.",,Authentication & Authorization,auth admin security,High,3,Done
Story,Add password hashing with bcrypt,"Secure password storage through model-level hashing lifecycle hooks.",,Authentication & Authorization,auth security backend,Highest,3,Done
Story,Build frontend auth context provider,"Persist authenticated user state globally in frontend context.",,Authentication & Authorization,frontend auth,High,3,Done
Story,Persist token in local storage,"Restore user session from stored credentials on app reload.",,Authentication & Authorization,frontend auth,Medium,2,Done
Story,Add Axios auth request interceptor,"Automatically append bearer token for protected API calls.",,Authentication & Authorization,frontend auth api,High,3,Done
Story,Add Axios auth response interceptor,"Handle unauthorized responses by clearing stale session state.",,Authentication & Authorization,frontend auth api,High,3,Done
Story,Implement protected route wrapper,"Restrict user-only pages from unauthenticated access.",,Authentication & Authorization,frontend auth routing,High,3,Done
Story,Implement admin route wrapper,"Restrict admin views by role check on frontend route layer.",,Authentication & Authorization,frontend auth admin,High,3,Done
Story,Design listing schema and relationships,"Define listing model fields for category, pricing, host, amenities, and metadata.",,Listings & Discovery,backend listings mongodb,High,3,Done
Story,Implement listing CRUD APIs,"Create endpoints for create/read/update/delete listing operations.",,Listings & Discovery,backend listings api,High,5,Done
Story,Implement listing filtering logic,"Support price/category/guest/bedroom filtering via query parameters.",,Listings & Discovery,backend listings search,High,5,Done
Story,Implement listing search support,"Enable keyword-style listing discovery behavior for users.",,Listings & Discovery,backend listings search,Medium,3,Done
Story,Implement listing detail endpoint,"Expose single listing detail with related host metadata.",,Listings & Discovery,backend listings api,Medium,2,Done
Story,Build listing cards and grids,"Render reusable listing cards and responsive discovery surfaces.",,Listings & Discovery,frontend listings ui,Medium,3,Done
Story,Build listing detail page UI,"Create full listing detail experience with booking entry path.",,Listings & Discovery,frontend listings page,High,3,Done
